source_group,target_group,lambda,gamma,selected_beta,selected_assignment_rate,selected_ivs,selected_rsm_pearson,selected_relative_perturbation,baseline_frontier_beta,baseline_assignment_rate,baseline_ivs,baseline_rsm_pearson,baseline_relative_perturbation,delta_ivs_vs_baseline,delta_perturbation_vs_baseline,delta_assignment_vs_baseline
causality,logic,1.0,0.2,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,5.0,0.0,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,5.0,0.05,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,5.0,0.1,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,5.0,0.2,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,10.0,0.0,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,10.0,0.05,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,10.0,0.1,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,10.0,0.2,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,20.0,0.0,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,20.0,0.05,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,20.0,0.1,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,20.0,0.2,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,50.0,0.0,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,50.0,0.05,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,50.0,0.1,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,50.0,0.2,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,100.0,0.0,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,100.0,0.05,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,100.0,0.1,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,logic,100.0,0.2,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.75,1.0,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.0,0.0,0.0
causality,analogy,1.0,0.0,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,1.0,0.05,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,1.0,0.1,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
